,ix,omental,size_at_met,beta_pt,beta_met,time_to_met,time_to_ca125,time_to_US,met_size_at_ca125,met_size_at_US
6807,6807,True,1.22672942,0.003990987288890928,0.00092281768295272,326.6226783945112,214.48214819983718,299.33993229619534,4.125136026904697e-11,4.744814234092052e-10
6808,6808,False,0.000749423904,0.0027820369949467984,0.018518725641915305,223.23195155978385,299.2848957407969,415.24484725876704,2.6671600927264776,1320.703454818706
6809,6809,True,3.99019334,0.0017020633139230741,0.006142943849998565,862.1606191555959,502.91638398961334,701.8903792115809,2.0259133664804525e-112,5.122230790872333e-31
6810,6810,True,3.87580839,0.005420021547369368,0.002329588266736481,269.9379830644388,157.93212622467004,220.416441966254,1.6368562166304603e-13,2.799849807380061e-11
6811,6811,True,3.99019334,0.0032388803346421777,0.005540150030796355,453.0738431051244,264.2874816967075,368.85026349192657,3.61454102574227e-33,2.814676083469924e-17
6812,6812,False,2.45892441,0.006910160833300181,0.0014356386478345748,194.65670646465824,120.49236943477132,167.17795068790102,3.964780092983173e-11,3.147351129222937e-10
6813,6813,True,3.99019334,0.0037551089758498858,0.003457644352227945,390.78811560770157,227.95490960840488,318.14306123597953,2.511923320718181e-19,2.3654028351562324e-13
6814,6814,False,3.99019334,0.002700364861207748,0.0027533224711632776,522.4375018476309,308.3367229150284,427.80386592582283,9.551015955222377e-20,1.9326481727428455e-13
6815,6815,False,2.45892441,0.008093130246199363,0.005456812240217709,166.20381830416875,102.88005093835014,142.74162059574314,7.0783430002054975e-15,1.9760735415765603e-11
6816,6816,False,3.99019334,0.005151655074579734,0.003930245827426241,273.84827822184695,161.6221660662359,224.24376444286008,1.210442196826739e-16,2.0614679281481518e-12
6817,6817,False,3.87580839,0.002149431398755033,0.013858272000089659,654.4534419957547,387.3683302765342,537.456802624191,0.0,2.200830864366394e-60
6818,6818,True,0.388565349,0.0017235093202696947,0.007867721699679482,676.5788520067387,496.65848457705135,693.1566025210967,2.4795497986534472e-49,3.571466658499748e-08
6819,6819,False,0.0836070562,0.0009961575140455335,0.0060114090408119915,981.5368306055323,835.8333298097616,1159.6825911028748,3.30835645984172e-27,0.15894340904476695
6820,6820,True,3.99019334,0.0018861417826036117,0.002335580691453652,778.0178426185366,453.83413646558563,633.3892159488069,4.189361138608878e-24,7.887440254824426e-15
6821,6821,False,6.58634689e-07,0.008455385849843726,0.0051439612585357,29.682316783079933,98.47234257146069,136.62611589230713,5.229458799657347e-06,0.0001902280609766886
6822,6822,True,3.87580839,0.0011316108304137745,0.000436351708780427,1292.9088740938555,756.4398503031073,1055.7179489124874,4.4725524703330324e-13,4.123343688273747e-11
6823,6823,False,0.388565349,0.002131005924408788,0.004922838172497167,529.429817314833,390.71766175905384,542.1038551807035,6.002518971009035e-22,5.684436113875624e-09
